"task","cohort","source","model","conditionalModel","model_prevalence_numerator","model_prevalence_denominator","model_prevalence_estimate","f1","f1_lb_boot","f1_ub_boot","ppv","ppv_lb_boot","ppv_ub_boot","npv","npv_lb_boot","npv_ub_boot","recall","recall_lb_boot","recall_ub_boot","specificity","specificity_lb_boot","specificity_ub_boot","w","w_lb_boot","w_ub_boot","mcc","mcc_lb_boot","mcc_ub_boot","calibrated_f1","calibrated_f1_lb_boot","calibrated_f1_ub_boot","calibrated_precision","calibrated_precision_lb_boot","calibrated_precision_ub_boot","N_val","N_valPos","N_valNeg","N_modelPos_valPos_conditionalPos","N_modelPos_valPos_conditionalNeg","N_modelPos_valNeg_conditionalPos","N_modelPos_valNeg_conditionalNeg","N_modelNeg_valPos_conditionalPos","N_modelNeg_valPos_conditionalNeg","N_modelNeg_valNeg_conditionalPos","N_modelNeg_valNeg_conditionalNeg","BDJ_pos_AD_pos","BDJ_pos_AD_neg","BDJ_neg_AD_pos","BDJ_neg_AD_neg","cohensKappa","cohensKappa_lb_boot","cohensKappa_ub_boot","median_nChar","mean_nChar","N_modelPos","N_modelNeg","ppv_lowerBound_analytical","ppv_upperBound_analytical","npv_lowerBound_analytical","npv_upperBound_analytical","ppv_lowerBound","npv_lowerBound","ppv_upperBound","npv_upperBound","hidden_sort","Task","Cohort","Source","Model","Input","Model prevalence estimate","PPV (LB - UB)","NPV (LB - UB)","PPVc","Recall (Sensitivity)","Specificity","F1","F1c","MCC","Cohen's kappa"
"invasive crc","non-ibd","CDW","BDJ","llama3_8B",NA,NA,0.531352459016393,0.97713319013857,0.954529277850351,0.995262577720336,0.991245661396066,0.971404198939151,1,0.957324005247048,0.912543714239449,0.990484336148127,0.96341691967465,0.925443056227728,0.991977202707495,0.989738257764116,0.965892955923433,1,0.531352459016393,0.501151639759118,0.561378142205548,0.950859657847702,0.902778120827857,0.989803823076288,0.976744099207091,0.954128238928141,0.995045818607055,0.990445167029839,0.967406486779796,1,200,103,97,95,4,0,1,2,2,3,93,99,1,5,95,0.94,0.889224014110052,0.97999399819946,618.5,857.285,100,100,0.945540614607919,0.999746853967023,0.90074284328734,0.988995506013812,0.945540614607919,0.90074284328734,1,0.990484336148127,1,"CRC","non-IBD","CDW","BDJ","Microscopic exam","0.531","0.991 (0.95 - 1.00)","0.957 (0.90 - 0.99)","0.990","0.963","0.990","0.977","0.977","0.951","0.940"
"invasive crc","non-ibd","CDW","AD","llama3_8B",NA,NA,0.552049180327869,0.995132322497622,0.984003009446952,1,0.990311804008909,0.968509767840339,1,1,1,1,1,1,1,0.98820125672438,0.96228059948662,1,0.552049180327869,0.526595895949918,0.578511988510303,0.989255967518312,0.9657141771392,1,0.994007911219997,0.980174711618171,1,0.988087204965459,0.961120225997034,1,200,103,97,97,6,1,0,0,0,2,94,99,1,5,95,0.94,0.889602569249297,0.97999399819946,618.5,857.285,104,96,0.947589300296772,0.999756589167837,0.962303078376412,1,0.947589300296772,0.962303078376412,1,1,1,"CRC","non-IBD","CDW","AD","Microscopic exam","0.552","0.990 (0.95 - 1.00)","1.000 (0.96 - 1.00)","0.988","1.000","0.988","0.995","0.994","0.989","0.940"
"any dysplasia","non-ibd","CDW","gemma2_9B_SPPO","llama3_8B",870,1000,0.87,0.9930603727142,0.98099845883349,0.999424956871765,0.987735632183908,0.964746838017162,1,0.989690721649485,0.966282558733402,1,0.998442834228564,0.994890000894474,1,0.923419107228344,0.806327967105722,1,0.87,0.87,0.87,0.949237671068736,0.874240488694913,0.99560321472222,0.959450621557305,0.890596194128764,0.999275160301087,0.923389469781944,0.803506042388377,1,200,101,99,99,1,1,2,0,1,0,96,95,8,0,97,0.920119820269596,0.860557768924303,0.96996996996997,328,537.63,103,97,0.947091713259796,0.999754226246306,0.943895845894908,0.999739025729976,0.947091713259796,0.943895845894908,1,1,3,"Dysplasia","non-IBD","CDW","gemma2_9B_SPPO","Microscopic exam","0.870","0.988 (0.95 - 1.00)","0.990 (0.94 - 1.00)","0.923","0.998","0.923","0.993","0.959","0.949","0.920"
"any dysplasia","non-ibd","CDW","llama3_8B","llama3_8B",875,1000,0.875,0.993548387096774,0.981572201861142,1,0.99,0.967391304347826,1,0.98,0.948979591836735,1,0.997122302158273,0.99269299100235,1,0.933333333333333,0.811084828329196,1,0.875,0.875,0.875,0.95002208733632,0.870316115641405,1,0.964604047397551,0.893218763134021,1,0.934139784946237,0.809301878633546,1,200,101,99,99,0,1,0,0,2,0,98,95,8,0,97,0.920119820269596,0.860460480414632,0.969945902624724,328,537.63,100,100,0.945540614607919,0.999746853967023,0.92961606752893,0.997568663176057,0.945540614607919,0.92961606752893,1,1,3,"Dysplasia","non-IBD","CDW","llama3_8B","Microscopic exam","0.875","0.990 (0.95 - 1.00)","0.980 (0.93 - 1.00)","0.934","0.997","0.933","0.994","0.965","0.950","0.920"
"any dysplasia","non-ibd","CDW","either","llama3_8B",878,1000,0.878,0.990086994005171,0.977605487140547,0.999305721537428,0.981772968868641,0.957847380410023,1,0.989690721649485,0.966666666666667,1,0.99854303440473,0.995317716444081,1,0.882970032143868,0.764868531489567,1,0.878,0.878,0.878,0.925396097284428,0.849097512253627,0.994296878395312,0.936823171763501,0.862878329123491,0.999305721537428,0.882288963652041,0.759741006082126,1,200,101,99,99,1,1,2,0,1,0,96,95,8,0,97,0.920119820269596,0.860557768924303,0.969945902624724,328,537.63,103,97,0.931614068099619,0.997639742062891,0.943895845894908,0.999739025729976,0.931614068099619,0.943895845894908,1,1,3,"Dysplasia","non-IBD","CDW","either","Microscopic exam","0.878","0.982 (0.93 - 1.00)","0.990 (0.94 - 1.00)","0.882","0.999","0.883","0.990","0.937","0.925","0.920"
"any dysplasia","non-ibd","CDW","both","llama3_8B",867,1000,0.867,0.993443249092877,0.981461237137911,1,0.99,0.967391304347826,1,0.98,0.948453608247423,1,0.996910533223382,0.992073480794467,1,0.937630386303144,0.821976216852015,1,0.867,0.867,0.867,0.952105399596458,0.876586154757562,1,0.966771089115722,0.900078706104872,1,0.938400567867063,0.820283068205137,1,200,101,99,99,0,1,0,0,2,0,98,95,8,0,97,0.920119820269596,0.860460480414632,0.969915764139591,328,537.63,100,100,0.945540614607919,0.999746853967023,0.92961606752893,0.997568663176057,0.945540614607919,0.92961606752893,1,1,3,"Dysplasia","non-IBD","CDW","both","Microscopic exam","0.867","0.990 (0.95 - 1.00)","0.980 (0.93 - 1.00)","0.938","0.997","0.938","0.993","0.967","0.952","0.920"
"any dysplasia","non-ibd","CDW","BDJ","llama3_8B",NA,NA,0.87875,0.994277539341917,0.982788884067475,1,0.988620199146515,0.966160189048628,1,1,1,1,1,1,1,0.923809523809523,0.801114678680423,1,0.87875,0.875,0.883495145631068,0.955665608569241,0.879930648363442,1,0.9599584205505,0.886151436430137,1,0.923000041073946,0.795576225935729,1,200,101,99,99,2,1,1,0,0,0,97,95,8,0,97,0.920119820269596,0.860557768924303,0.969946504308356,328,537.63,103,97,0.947091713259796,0.999754226246306,0.962684363091264,1,0.947091713259796,0.962684363091264,1,1,3,"Dysplasia","non-IBD","CDW","BDJ","Microscopic exam","0.879","0.989 (0.95 - 1.00)","1.000 (0.96 - 1.00)","0.923","1.000","0.924","0.994","0.960","0.956","0.920"
"any dysplasia","non-ibd","CDW","AD","llama3_8B",NA,NA,0.82375,0.97341211225997,0.946533029921789,0.993947415741288,1,1,1,0.74468085106383,0.594951026240005,0.926274208395658,0.948201438848921,0.898493314758774,0.987967658251719,1,1,1,0.82375,0.777811239516822,0.85979902668358,0.840302001938566,0.732335873675818,0.956803888819229,0.97341211225997,0.946533029921789,0.993947415741288,1,1,1,200,101,99,94,1,0,0,5,1,1,98,95,8,0,97,0.920119820269596,0.860460480414632,0.969915764139591,328,537.63,95,105,0.961913922429989,1,0.648345865833727,0.823204751270176,0.961913922429989,0.594951026240005,1,0.926274208395658,3,"Dysplasia","non-IBD","CDW","AD","Microscopic exam","0.824","1.000 (0.96 - 1.00)","0.745 (0.59 - 0.93)","1.000","0.948","1.000","0.973","0.973","0.840","0.920"
"invasive crc unfiltered","ibd","MVP","gemma2_9B_SPPO","either",157,21372,0.0073460602657683,0.977198697068404,0.958904109589041,0.993103448275862,0.955414012738854,0.921052631578947,0.986301369863014,1,1,1,1,1,1,0.999670153614174,0.999416097123751,0.999898634601628,0.0073460602657683,0.0073460602657683,0.0073460602657683,0.977291600741449,0.959434638888023,0.99307673068688,0.999827353246725,0.999682939520882,0.999948610806067,0.999654766096963,0.999366080032732,0.999897226893562,309,150,159,150,0,7,0,0,0,2,150,NA,NA,NA,NA,NA,NA,NA,930,1162.04207119741,157,152,0.910295458941915,0.981888845930976,0.976023179096208,1,0.910295458941915,0.976023179096208,0.986301369863014,1,1,"CRC (unfiltered)","IBD","MVP","gemma2_9B_SPPO","Microscopic exam","0.007","0.955 (0.91 - 0.99)","1.000 (0.98 - 1.00)","1.000","1.000","1.000","0.977","1.000","0.977","NA"
"invasive crc unfiltered","ibd","MVP","llama3_8B","either",151,21372,0.00706531910911473,0.956810631229233,0.935929394327292,0.974811548985843,0.95364238410596,0.917241379310345,0.985815602836879,0.999717261203525,0.999623014938033,0.999849205975213,0.959999999999995,0.946446083656674,0.978300462507418,0.999670153614174,0.999411297393619,0.999899058045396,0.00706531910911473,0.00706531910911473,0.00706531910911473,0.956509695331785,0.935687840304636,0.974706758561439,0.979432539743435,0.972269723107718,0.988872390377396,0.999668049219162,0.999385970874944,0.999901720270937,309,150,159,144,0,7,0,6,0,2,150,NA,NA,NA,NA,NA,NA,NA,930,1162.04207119741,151,158,0.906819760518925,0.981161392836595,0.97692310201028,1,0.906819760518925,0.97692310201028,0.985815602836879,1,1,"CRC (unfiltered)","IBD","MVP","llama3_8B","Microscopic exam","0.007","0.954 (0.91 - 0.99)","1.000 (0.98 - 1.00)","1.000","0.960","1.000","0.957","0.979","0.957","NA"
"invasive crc unfiltered","ibd","MVP","either","either",159,21372,0.00743964065131948,0.970873786407767,0.950310559006211,0.98780487804878,0.943396226415094,0.905325443786982,0.975903614457831,1,1,1,1,1,1,0.999575911789652,0.999290879184377,0.999819420476014,0.00743964065131948,0.00743964065131948,0.00743964065131948,0.971079885075263,0.951148494542193,0.98778914057995,0.999775188438747,0.99960823700183,0.999907472713179,0.999550477935252,0.999216780839947,0.999814962547372,309,150,159,150,0,9,0,0,0,0,150,NA,NA,NA,NA,NA,NA,NA,930,1162.04207119741,159,150,0.895269868903874,0.973793513818914,0.975707402833891,1,0.895269868903874,0.975707402833891,0.975903614457831,1,1,"CRC (unfiltered)","IBD","MVP","either","Microscopic exam","0.007","0.943 (0.90 - 0.98)","1.000 (0.98 - 1.00)","1.000","1.000","1.000","0.971","1.000","0.971","NA"
"invasive crc unfiltered","ibd","MVP","both","either",149,21372,0.00697173872356354,0.963210702341137,0.943758123109749,0.980155262183062,0.966442953020134,0.934782608695652,0.993055555555556,0.999717287848089,0.999575931772134,0.999871494476404,0.959999999999999,0.941022331531344,0.981384485687811,0.999764395438696,0.99954220157562,0.999951233858652,0.00697173872356354,0.00697173872356354,0.00697173872356354,0.962957008112924,0.943404554412885,0.980058744429677,0.979479565426997,0.969465861015554,0.990504925474229,0.999766031917015,0.999531350133079,0.999952936993953,309,150,159,144,0,5,0,6,0,4,150,NA,NA,NA,NA,NA,NA,NA,930,1162.04207119741,149,160,0.923428638625298,0.989015995029777,0.977208250544534,1,0.923428638625298,0.977208250544534,0.993055555555556,1,1,"CRC (unfiltered)","IBD","MVP","both","Microscopic exam","0.007","0.966 (0.92 - 0.99)","1.000 (0.98 - 1.00)","1.000","0.960","1.000","0.963","0.979","0.963","NA"
